text_zh,text_vi
"
							9,10.( 甲)耶和华的吩咐怎样改变了挪亚的一生?(
              			","
                			9, 10. (a) Chỉ thị nào của Đức Giê-hô-va đã thay đổi cuộc đời Nô-ê?
                		"
"
							这里是巴赫为其 创作乐曲的地方。这是管风琴
              			","
                			Đây là căn phòng mà Bach viết một số bản nhạc.
                		"
"
							正如一位经验丰富的长老说:“你若仅是责骂弟兄,就不会成就什么事。”
              			","
                			Một anh trưởng lão nhiều kinh nghiệm đã nhận xét: “Thật vậy, chúng ta không đạt được kết quả gì mấy nếu chỉ quở trách anh em mà thôi”.
                		"
"
							她 知道 這會 發生 的
","
                			Cô ta biết sẽ xảy ra chuyện này.
                		"
"
							这是 NAVSTAR 运算符 。
              			","
                			Đây là tổng đài NavStar.
                		"
"
							并且这也许是我们 在洛杉矶有 远古外星人建筑的最好实例。
              			","
                			Và nó có lẽ là ví dụ điển hình nhất chúng ta có được tại Los Angeles về kiến trúc ngoài hành tinh cổ đại.
                		"
"
							我 想 知道 他 被困 在 什麼樣 的 迷林
              			","
                			Con rất muốn biết vì sao ông ấy bị thế.
                		"
"
							上帝亲自委任拿撒勒人耶稣担当一个十分重要的职位。
              			","
                			Chúa Giê-su người Na-xa-rét cũng được chính Đức Chúa Trời bổ nhiệm vào một địa vị đầy quyền lực.
                		"
"
							以弗所书6:11-18描述的属灵盔甲,可以怎样保护我们?(《
              			","
                			Bộ khí giới thiêng liêng được mô tả nơi Ê-phê-sô 6:11-18 che chở chúng ta như thế nào?
                		"
"
							8 论到上帝所供应的一切,圣经说:“上帝看着一切所造的都甚好。”(
              			","
                			8 Kinh-thánh nói về các sự cung cấp ấy: “Đức Chúa Trời thấy các việc Ngài đã làm thật rất tốt-lành” (Sáng-thế Ký 1:31).
                		"
"
							安杰洛·史卡普拉10岁时,便开始在祖国义大利学习神学。
              			","
                			Angelo Scarpulla đã bắt đầu học về thần học tại quê hương nước Ý của anh vào năm 10 tuổi.
                		"
"
							我被起诉,并在两天后接受审讯。
              			","
                			Tôi bị buộc tội và phiên tòa xét xử mở ra hai ngày sau.
                		"
"
							之后祖父和父亲为彼此施洗,也为许多孙子女施洗。
              			","
                			Sau đó, ông nội và người cha làm phép báp têm cho nhau và cho rất nhiều cháu.
                		"
"
							女权主义是所有消除陈腐性别观念的一切活动的统称, 因此,女权主义不存在女性化”
              			","
                			Phong trào nam nữ bình quyền là nhằm xóa đi khác biệt về giới tính, bởi vậy, thuyết nam nữ bình quyền chẳng nữ tính tí nào.”
                		"
"
							魔鬼为了使忠心的约伯不再事奉上帝,把一场又一场灾祸降在他身上。
              			","
                			Trong nỗ lực khiến Gióp từ bỏ việc thờ phượng Đức Chúa Trời, Ma-quỉ đã giáng xuống đầu người trung thành ấy hết tai họa này đến tai họa khác.
                		"
